Year,Fresno County,Los Angeles County,San Francisco County,Shasta County
2014,11.6,8.3,4.4,9.6
2015,10.2,6.6,3.6,7.8
2016,9.5,5.3,3.3,7.0
2017,8.5,4.8,2.9,5.8
2018,7.5,4.7,2.4,4.9
