0,Los Angeles County,San Francisco County,Fresno County,Shasta County
Average 2014 Rentals,2376.25,5374.166666666667,1106.0416666666667,1161.25
Average 2015 Rentals,2711.6666666666665,5978.541666666667,1180.0,1243.125
Average 2016 Rentals,2827.5,5685.041666666667,1239.5833333333333,1250.4166666666667
Average 2017 Rentals,3020.4166666666665,5446.25,1337.7083333333333,1300.4166666666667
Average 2018 Rentals,3121.625,5498.583333333333,1424.375,1390.4166666666667
