,Los Angeles County,Fresno County,San Francisco County,Shasta County
2014 Avg Price,456951.2499999998,180313.22222222216,1194854.9166666667,202065.47222222225
2015 Avg Price,482374.33333333343,191649.05555555565,1292884.2222222218,216334.3055555555
2016 Avg Price,518062.9444444443,203774.63888888885,1388945.63888889,226238.27777777784
2017 Avg Price,555362.7500000001,220687.5000000001,1471771.0277777782,241436.88888888885
2018 Avg Price,596094.5277777779,238799.27777777798,1620575.7499999981,253039.0000000001
